1.0000	0.0081	0.0081	0.0081	0.0081	0.0081	0.0022	0.0123	0.0425	0.0012	0.9015
2.0000	0.0467	0.0467	0.0467	0.0467	0.0467	0.6615	0.0131	0.0144	0.0135	0.0638
3.0000	0.0347	0.0347	0.0314	0.0197	0.0704	0.0120	0.1877	0.1132	0.1864	0.3097
4.0000	0.0983	0.0983	0.0983	0.0910	0.0042	0.1637	0.1972	0.0789	0.1569	0.0133
5.0000	0.1078	0.1078	0.1078	0.1078	0.1084	0.2489	0.0300	0.0726	0.0256	0.0835
6.0000	0.2658	0.0121	0.0620	0.0255	0.0505	0.0736	0.0817	0.0412	0.2238	0.1639
7.0000	0.1292	0.1292	0.1292	0.1292	0.1292	0.1292	0.0580	0.0598	0.0865	0.0208
8.0000	0.0324	0.0324	0.0324	0.0324	0.2194	0.1654	0.1398	0.1320	0.1786	0.0353
9.0000	0.0776	0.0776	0.0776	0.0776	0.0776	0.0951	0.0846	0.2610	0.1466	0.0250
10.0000	0.2298	0.1162	0.1908	0.0775	0.0162	0.0093	0.0315	0.0453	0.1856	0.0977
11.0000	0.0473	0.0473	0.0473	0.0473	0.0593	0.2408	0.1430	0.2611	0.0850	0.0215
12.0000	0.0663	0.0663	0.0663	0.0663	0.0663	0.0536	0.3984	0.0734	0.0835	0.0594
13.0000	0.1071	0.1071	0.0632	0.0910	0.0799	0.0693	0.1504	0.0981	0.1958	0.0381
14.0000	0.0391	0.0391	0.0391	0.0391	0.0391	0.1021	0.1690	0.1180	0.3773	0.0383
15.0000	0.0199	0.0199	0.0199	0.0199	0.0199	0.0199	0.0867	0.7474	0.0362	0.0105
16.0000	0.0912	0.0912	0.0912	0.0912	0.0912	0.0912	0.1423	0.1168	0.1260	0.0678
17.0000	0.0880	0.0880	0.1014	0.0917	0.3041	0.0401	0.0384	0.0965	0.0785	0.0734
18.0000	0.1379	0.1379	0.1379	0.1379	0.1379	0.1379	0.0412	0.0366	0.0651	0.0296
19.0000	0.1041	0.1041	0.1041	0.1041	0.1041	0.1041	0.0609	0.0614	0.1891	0.0643
20.0000	0.0962	0.0962	0.0962	0.0962	0.0962	0.0962	0.2909	0.0383	0.0636	0.0297
